15 210
0 1 2
0 2 3
0 3 4
0 4 5
0 5 1
0 6 2
0 7 3
0 8 4
0 9 5
0 10 2
0 11 3
0 12 4
0 13 1
0 14 5
1 0 2
1 2 1
1 3 3
1 4 4
1 5 5
1 6 1
1 7 2
1 8 3
1 9 4
1 10 5
1 11 2
1 12 3
1 13 4
1 14 1
2 0 3
2 1 1
2 3 2
2 4 3
2 5 4
2 6 5
2 7 1
2 8 2
2 9 3
2 10 4
2 11 5
2 12 1
2 13 2
2 14 3
3 0 4
3 1 3
3 2 2
3 4 1
3 5 2
3 6 3
3 7 4
3 8 5
3 9 1
3 10 2
3 11 3
3 12 4
3 13 5
3 14 2
4 0 5
4 1 4
4 2 3
4 3 1
4 5 2
4 6 3
4 7 4
4 8 5
4 9 1
4 10 2
4 11 3
4 12 4
4 13 5
4 14 1
5 0 1
5 1 5
5 2 4
5 3 2
5 4 2
5 6 1
5 7 2
5 8 3
5 9 4
5 10 5
5 11 1
5 12 2
5 13 3
5 14 4
6 0 2
6 1 1
6 2 5
6 3 3
6 4 3
6 5 1
6 7 2
6 8 4
6 9 5
6 10 1
6 11 2
6 12 3
6 13 4
6 14 5
7 0 3
7 1 2
7 2 1
7 3 4
7 4 4
7 5 2
7 6 2
7 8 1
7 9 3
7 10 4
7 11 5
7 12 1
7 13 2
7 14 3
8 0 4
8 1 3
8 2 2
8 3 5
8 4 5
8 5 3
8 6 4
8 7 1
8 9 2
8 10 3
8 11 4
8 12 5
8 13 1
8 14 2
9 0 5
9 1 4
9 2 3
9 3 1
9 4 1
9 5 4
9 6 5
9 7 3
9 8 2
9 10 1
9 11 2
9 12 3
9 13 4
9 14 5
10 0 2
10 1 5
10 2 4
10 3 2
10 4 2
10 5 5
10 6 1
10 7 4
10 8 3
10 9 1
10 11 3
10 12 4
10 13 5
10 14 2
11 0 3
11 1 2
11 2 5
11 3 3
11 4 3
11 5 1
11 6 2
11 7 5
11 8 4
11 9 2
11 10 3
11 12 1
11 13 2
11 14 3
12 0 4
12 1 3
12 2 1
12 3 4
12 4 4
12 5 2
12 6 3
12 7 1
12 8 5
12 9 3
12 10 4
12 11 1
12 13 2
12 14 4
13 0 1
13 1 4
13 2 2
13 3 5
13 4 5
13 5 3
13 6 4
13 7 2
13 8 1
13 9 4
13 10 5
13 11 2
13 12 2
13 14 1
14 0 5
14 1 1
14 2 3
14 3 2
14 4 1
14 5 4
14 6 5
14 7 3
14 8 2
14 9 5
14 10 2
14 11 3
14 12 4
14 13 1
0 14
